ID,TIMESTAMP,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,MAG_X,MAG_Y,MAG_Z
3, 194005, 3001, 3011, 2979, 2921, 2921, 2902, -5173, 13518, 95499, -2591, 1905, -1524, 939000, 1635000, -87000
3, 194073, 3001, 3011, 2979, 2919, 2920, 2902, -5431, 13326, 95493, -2667, 1981, -1448, 891000, 1707000, -75000
3, 194142, 3001, 3011, 2972, 2919, 2920, 2902, -5185, 13488, 95403, -2667, 1981, -1524, 795000, 1491000, -81000
3, 194307, 2997, 3007, 2972, 2919, 2920, 2902, -5066, 13392, 95451, -2591, 1981, -1448, 771000, 1587000, -81000
3, 194375, 2997, 3007, 2972, 2919, 2920, 2901, -5365, 13464, 95625, -2591, 1981, -1448, 1011000, 1611000, -69000
3, 194443, 2997, 3007, 2972, 2919, 2920, 2901, -5341, 13416, 95266, -2515, 2057, -1448, 867000, 1683000, -63000
3, 194511, 2997, 3007, 2972, 2919, 2920, 2901, -5317, 13398, 95487, -2667, 1905, -1524, 819000, 1491000, -57000
3, 194579, 2997, 3007, 2972, 2918, 2919, 2901, -5096, 13458, 95631, -2743, 1981, -1524, 699000, 1467000, -63000
3, 194647, 2997, 3007, 2969, 2918, 2919, 2901, -5138, 13458, 95409, -2591, 1981, -1524, 891000, 1635000, -57000
3, 194716, 2997, 3004, 2969, 2918, 2919, 2901, -5389, 13601, 95631, -2743, 1981, -1524, 795000, 1779000, -69000
3, 194784, 2997, 3004, 2969, 2918, 2919, 2901, -5155, 13236, 95535, -2591, 2057, -1448, 867000, 1707000, -69000
3, 194852, 2995, 3004, 2969, 2918, 2919, 2901, -5347, 13655, 95625, -2591, 1981, -1448, 819000, 1611000, -75000
3, 195017, 2995, 3004, 2969, 2918, 2919, 2900, -5114, 13571, 95487, -2667, 1905, -1448, 987000, 1587000, -63000
3, 195085, 2995, 3004, 2969, 2918, 2919, 2900, -5287, 13494, 95535, -2515, 1981, -1371, 915000, 1491000, -57000
3, 195153, 2995, 3004, 2967, 2918, 2919, 2900, -5233, 13488, 95457, -2743, 2057, -1524, 843000, 1731000, -63000
3, 195221, 2995, 3003, 2967, 2918, 2919, 2900, -5311, 13392, 95487, -2667, 1981, -1524, 939000, 1683000, -51000
3, 195289, 2995, 3003, 2967, 2918, 2919, 2900, -5203, 13428, 95613, -2667, 2057, -1524, 939000, 1587000, -75000
3, 195357, 2993, 3003, 2967, 2918, 2919, 2900, -5132, 13625, 95427, -2743, 1981, -1448, 939000, 1659000, -63000
